,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.7,0.708,1.427,0.508,1.472,0.495,1.383,0.512,1.363,0.511,1.167,0.507,1.41,0.509,1.266,0.507
1,1,0.932,0.733,2.513,0.511,2.502,0.517,2.458,0.503,2.285,0.494,1.532,0.56,1.586,0.504,2.177,0.515
2,2,0.484,0.851,2.313,0.519,2.221,0.522,2.219,0.53,2.872,0.503,1.671,0.586,1.601,0.486,2.828,0.512
3,3,0.01,0.996,0.579,0.885,0.72,0.862,0.68,0.868,3.608,0.536,1.679,0.714,1.347,0.514,2.582,0.691
4,4,0.007,0.999,0.605,0.88,0.628,0.878,0.658,0.874,2.893,0.622,2.05,0.674,1.569,0.499,1.856,0.717
5,5,0.007,0.998,0.706,0.857,0.737,0.854,0.702,0.866,1.88,0.699,3.948,0.495,1.743,0.512,2.274,0.664
6,6,0.325,0.889,1.891,0.541,1.863,0.546,1.759,0.557,1.995,0.607,2.234,0.542,1.656,0.453,2.201,0.567
7,7,0.556,0.85,1.564,0.61,1.654,0.612,1.606,0.618,1.52,0.654,1.682,0.589,2.76,0.374,2.103,0.602
8,8,1.177,0.801,1.862,0.698,1.896,0.695,1.871,0.693,1.347,0.438,1.655,0.62,2.017,0.501,1.634,0.642
9,9,1.063,0.817,1.412,0.734,1.384,0.722,1.373,0.735,1.594,0.456,0.644,0.806,2.272,0.537,1.173,0.777
10,10,1.319,0.761,1.559,0.69,1.501,0.701,1.534,0.706,2.84,0.383,0.801,0.769,2.186,0.563,0.908,0.791
11,11,11.085,0.0,10.32,0.033,10.382,0.021,10.447,0.017,10.199,0.021,10.2,0.021,10.202,0.021,10.194,0.021
