,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.903,0.642,1.427,0.515,1.45,0.519,1.45,0.517,1.305,0.524,1.052,0.512,1.514,0.505,1.296,0.502
1,1,1.147,0.684,2.392,0.5,2.352,0.513,2.358,0.499,2.001,0.5,1.386,0.532,1.491,0.519,1.839,0.525
2,2,0.744,0.79,2.279,0.522,2.327,0.509,2.328,0.504,2.487,0.512,1.486,0.571,1.484,0.491,2.227,0.513
3,3,0.23,0.926,2.57,0.523,2.569,0.522,2.609,0.505,3.027,0.553,1.694,0.717,1.337,0.534,2.258,0.642
4,4,0.279,0.906,2.569,0.535,2.68,0.524,2.635,0.532,2.258,0.649,2.189,0.678,1.414,0.508,2.068,0.698
5,5,0.282,0.914,2.723,0.535,2.658,0.516,2.673,0.522,2.364,0.562,2.242,0.591,1.534,0.527,2.347,0.617
6,6,0.495,0.83,2.009,0.503,2.054,0.494,2.023,0.504,2.211,0.575,2.049,0.525,1.556,0.453,2.636,0.528
7,7,1.214,0.689,1.973,0.542,1.879,0.553,1.871,0.56,1.951,0.612,1.861,0.517,2.538,0.388,2.379,0.567
8,8,1.349,0.794,1.961,0.675,1.983,0.698,1.917,0.695,1.735,0.434,1.257,0.621,2.292,0.452,1.472,0.661
9,9,1.135,0.812,1.39,0.731,1.387,0.739,1.269,0.753,1.752,0.396,0.844,0.769,2.16,0.506,0.749,0.853
10,10,1.406,0.751,1.467,0.702,1.44,0.71,1.396,0.719,3.25,0.316,0.807,0.752,2.308,0.534,0.842,0.826
11,11,11.086,0.0,10.32,0.033,10.384,0.021,10.447,0.017,10.202,0.021,10.22,0.021,10.201,0.021,10.196,0.022
