,model_id,Variable,batch_size,lr,seed,target_layer,operation,mask_init,model dir,train loss,test loss,knn dev acc,dev majority acc,knn test acc,test majority acc,full model knn dev acc,full model knn test acc,L0 Norm,L0 Max,same vanilla acc,same ablated acc,same random ablate acc mean,same random ablate acc std,different vanilla acc,different ablated acc,different random ablate acc mean,different random ablate acc std,different-color vanilla acc,different-color ablated acc,different-color random ablate acc mean,different-color random ablate acc std,different-shape vanilla acc,different-shape ablated acc,different-shape random ablate acc mean,different-shape random ablate acc std,different-texture vanilla acc,different-texture ablated acc,different-texture random ablate acc mean,different-texture random ablate acc std
0,7bbdbf3e-367f-4c8c-87ff-84a4ef4e69ed,t,500,0.001,0,0,attn,0.0,./Model/Imagenet_ViT/Texture/,2.7666321992874146,2.6906973123550415,0.06726907630522089,0.06726907630522089,0.058,0.058,0.06977911646586345,0.056,0.0,2359296,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.808695652173913,0.808695652173913,0.808695652173913,0.0,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.0,0.08977035490605428,0.08977035490605428,0.08977035490605428,0.0
1,0948ff5c-b4e7-4f15-9ae5-35a571203802,t,500,0.001,0,0,mlp,0.0,./Model/Imagenet_ViT/Texture/,2.7627216577529907,2.6898114681243896,0.06551204819277108,0.06726907630522089,0.069,0.058,0.06576305220883534,0.0575,2210.0,4718592,1.0,0.996,1.0,0.0,1.0,1.0,1.0,0.0,0.808695652173913,0.8,0.8069565217391306,0.002955953341213219,0.4666666666666667,0.4579710144927536,0.4689855072463768,0.011506917821031432,0.08977035490605428,0.11482254697286012,0.0918580375782881,0.0013203664551851254
2,71df83e3-f932-4e35-9dee-3d2aaaea9560,t,500,0.001,0,1,attn,0.0,./Model/Imagenet_ViT/Texture/,2.2064459919929504,2.220130205154419,0.5067771084337349,0.06726907630522089,0.441,0.058,0.07003012048192771,0.039,276166.0,2359296,1.0,0.0,0.9002000000000001,0.06483023985764666,1.0,1.0,0.9965999999999999,0.005425863986500219,0.808695652173913,1.0,0.7252173913043478,0.0517015655455149,0.4666666666666667,1.0,0.671304347826087,0.16067072186731599,0.08977035490605428,1.0,0.2162839248434238,0.06903382942944597
3,c8634d92-0711-48b0-a2cd-ca051105edeb,t,500,0.001,0,1,mlp,0.0,./Model/Imagenet_ViT/Texture/,2.4755412936210632,2.4565539360046387,0.196285140562249,0.06726907630522089,0.2015,0.058,0.07329317269076305,0.0675,500901.0,4718592,1.0,0.376,0.9762000000000001,0.023827714955488265,1.0,0.996,1.0,0.0,0.808695652173913,0.9478260869565217,0.848695652173913,0.044392323986264685,0.4666666666666667,0.9130434782608695,0.6718840579710144,0.12874786772041735,0.08977035490605428,0.7160751565762005,0.17244258872651358,0.05502301457066521
4,bb24239a-362c-4029-b426-9b477e6d41c0,t,500,0.001,0,2,attn,0.0,./Model/Imagenet_ViT/Texture/,2.0945836901664734,2.132788300514221,0.5788152610441767,0.06726907630522089,0.4675,0.058,0.07454819277108433,0.0665,320569.0,2359296,1.0,0.0,0.9794,0.007889233169326415,1.0,1.0,0.9972,0.0017204650534085267,0.808695652173913,1.0,0.7907246376811594,0.020281571808157595,0.4666666666666667,1.0,0.5095652173913043,0.06500512961841222,0.08977035490605428,1.0,0.19331941544885176,0.025927640411290233
5,8e8eca5d-3286-4a36-a855-bd7111056570,t,500,0.001,0,2,mlp,0.0,./Model/Imagenet_ViT/Texture/,2.4250086545944214,2.4061434268951416,0.22113453815261044,0.06726907630522089,0.212,0.058,0.07580321285140562,0.061,640150.0,4718592,1.0,0.003,0.993,0.008342661445845691,1.0,1.0,0.9954000000000001,0.0046303347611160945,0.808695652173913,1.0,0.7420289855072464,0.037747989788057275,0.4666666666666667,1.0,0.37681159420289856,0.18666306594780852,0.08977035490605428,1.0,0.0860125260960334,0.03829973209342338
6,453cf688-5602-4572-8760-61ffe51f5ad0,t,500,0.001,0,3,attn,0.0,./Model/Imagenet_ViT/Texture/,2.082811415195465,2.1480588912963867,0.5363955823293173,0.06726907630522089,0.468,0.058,0.08207831325301204,0.0625,438428.0,2359296,1.0,0.0,0.623,0.14455172084759146,1.0,1.0,1.0,0.0,0.808695652173913,1.0,0.990144927536232,0.009803788130601612,0.4666666666666667,1.0,0.9182608695652175,0.04229898283351813,0.08977035490605428,1.0,0.5139874739039666,0.14092955961250053
7,831a7f6a-f2ef-4fe0-ba0b-090327047ed6,t,500,0.001,0,3,mlp,0.0,./Model/Imagenet_ViT/Texture/,2.319169044494629,2.312562942504883,0.28990963855421686,0.06726907630522089,0.221,0.058,0.08057228915662651,0.0615,773150.0,4718592,1.0,0.886,0.9890000000000001,0.006542170893518456,1.0,0.971,0.991,0.013311649033835003,0.808695652173913,0.7768115942028986,0.8168115942028986,0.04700301866811475,0.4666666666666667,0.5681159420289855,0.40869565217391307,0.13712320200017242,0.08977035490605428,0.17954070981210857,0.08810020876826723,0.021429022831492842
8,a18a8f9f-3926-43fc-a887-7042dee28091,t,500,0.001,0,4,attn,0.0,./Model/Imagenet_ViT/Texture/,2.104252576828003,2.143097162246704,0.5258534136546185,0.06726907630522089,0.4095,0.058,0.08734939759036145,0.079,471669.0,2359296,1.0,0.0,0.09759999999999999,0.03232089107682522,1.0,1.0,1.0,0.0,0.808695652173913,1.0,0.9959420289855073,0.0014199940537873777,0.4666666666666667,1.0,1.0,0.0,0.08977035490605428,1.0,0.973277661795407,0.009648617960994825
9,4ec8b532-8e81-4e69-8089-d6ab0eac786e,t,500,0.001,0,4,mlp,0.0,./Model/Imagenet_ViT/Texture/,2.3247509598731995,2.320802927017212,0.3569277108433735,0.06726907630522089,0.294,0.058,0.0783132530120482,0.0755,825482.0,4718592,1.0,0.819,0.9632,0.02107510379571117,1.0,0.999,0.999,0.0006324555320336764,0.808695652173913,0.7942028985507247,0.8973913043478262,0.011389497219935384,0.4666666666666667,0.8318840579710145,0.6660869565217392,0.144083338389962,0.08977035490605428,0.302713987473904,0.1862212943632568,0.05230717994444061
