,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.008,0.999,1.823,0.749,1.903,0.748,1.388,0.77,0.725,0.851,1.86,0.497,1.174,0.803
1,1,0.0,1.0,0.471,0.925,0.525,0.917,1.024,0.816,0.416,0.91,1.568,0.543,0.749,0.886
2,2,0.006,1.0,0.739,0.893,0.765,0.885,2.018,0.732,0.545,0.915,2.816,0.496,1.834,0.779
3,3,0.051,0.996,1.467,0.791,1.417,0.807,3.574,0.57,2.348,0.705,4.333,0.495,2.812,0.666
4,4,3.35,0.569,5.167,0.393,5.161,0.385,4.744,0.479,4.007,0.466,5.176,0.495,4.126,0.454
5,5,4.212,0.49,5.758,0.333,5.628,0.34,4.801,0.462,4.31,0.501,5.317,0.495,4.072,0.501
6,6,3.279,0.429,4.832,0.284,4.847,0.281,4.491,0.393,4.475,0.396,9.241,0.06,3.466,0.473
7,7,2.962,0.412,4.385,0.277,4.234,0.287,5.986,0.271,5.634,0.276,10.737,0.012,4.27,0.407
8,8,4.778,0.16,6.01,0.136,5.831,0.139,5.771,0.202,6.666,0.105,11.29,0.006,4.451,0.27
9,9,6.756,0.003,7.839,0.004,7.675,0.009,9.155,0.004,9.168,0.004,9.774,0.004,7.809,0.004
10,10,10.142,0.003,10.459,0.004,10.369,0.009,10.639,0.003,10.811,0.004,9.724,0.004,10.424,0.004
11,11,11.97,0.003,11.904,0.004,11.824,0.007,11.904,0.004,11.904,0.004,11.904,0.004,11.904,0.004
