,layer,train_loss,train_acc,test_loss,test_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.009,0.998,2.612,0.52,4.516,0.478,1.522,0.523,4.447,0.478
1,1,0.0,1.0,0.63,0.872,4.354,0.508,1.071,0.685,3.54,0.578
2,2,0.0,1.0,0.226,0.95,4.08,0.515,1.265,0.673,2.682,0.659
3,3,0.0,1.0,0.294,0.939,3.951,0.474,2.757,0.526,2.082,0.705
4,4,0.001,1.0,1.026,0.801,4.674,0.357,1.994,0.438,2.956,0.553
