,layer,train_loss,train_acc,test_loss,test_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.013,0.998,2.963,0.428,4.19,0.476,1.292,0.571,4.088,0.481
1,1,0.012,0.999,2.516,0.46,4.074,0.495,0.963,0.631,4.014,0.496
2,2,0.066,0.989,2.715,0.513,4.553,0.495,0.994,0.576,4.363,0.501
3,3,0.104,0.986,2.652,0.532,4.082,0.488,1.496,0.496,4.149,0.505
4,4,0.178,0.965,2.233,0.449,2.055,0.449,1.849,0.422,1.891,0.426
