,layer,train_loss,train_acc,test_loss,test_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,2.015,0.33,1.991,0.332,2.42,0.503,3.304,0.504,1.54,0.503
1,1,4.326,0.438,4.337,0.438,3.953,0.5,3.313,0.505,3.792,0.498
2,2,8.435,0.108,8.377,0.109,4.61,0.503,4.247,0.503,4.589,0.502
3,3,9.791,0.004,9.655,0.013,8.59,0.086,9.027,0.058,8.525,0.085
4,4,9.794,0.004,9.679,0.009,9.676,0.01,9.677,0.009,9.676,0.01
5,5,9.794,0.004,9.679,0.009,9.677,0.01,9.676,0.011,9.677,0.01
