,model_id,Variable,batch_size,lr,seed,target_layer,operation,mask_init,model dir,train loss,test loss,knn dev acc,dev majority acc,knn test acc,test majority acc,full model knn dev acc,full model knn test acc,L0 Norm,L0 Max,same vanilla acc,same ablated acc,same random ablate acc mean,same random ablate acc std,different vanilla acc,different ablated acc,different random ablate acc mean,different random ablate acc std,different-color vanilla acc,different-color ablated acc,different-color random ablate acc mean,different-color random ablate acc std,different-shape vanilla acc,different-shape ablated acc,different-shape random ablate acc mean,different-shape random ablate acc std,different-texture vanilla acc,different-texture ablated acc,different-texture random ablate acc mean,different-texture random ablate acc std
0,363adc9c-607e-47ee-940a-4efe9513afee,c,500,0.001,0,0,attn,0.0,./Model/Random_ViT/Color/,2.2566022276878357,2.232767105102539,0.4917168674698795,0.06375502008032129,0.5455,0.0555,0.1355421686746988,0.15,143799.0,2359296,0.884,1.0,0.6062000000000001,0.13060995367888315,0.813,0.0,0.8122,0.09994278363143584,0.5449275362318841,0.0,0.6376811594202898,0.07538461208728552,0.48695652173913045,0.0,0.6498550724637682,0.1293078531991418,0.38413361169102295,0.0,0.6091858037578287,0.17800185300399846
1,3f2f0768-09fa-41ae-a76a-abe4b94bc51d,c,500,0.001,0,0,mlp,0.0,./Model/Random_ViT/Color/,2.7713743448257446,2.7487130165100098,0.07003012048192771,0.06375502008032129,0.0805,0.0555,0.08157630522088354,0.084,270.0,4718592,0.884,0.84,0.8835999999999998,0.006887670143089032,0.813,0.85,0.8126000000000001,0.005817215828899553,0.5449275362318841,0.5942028985507246,0.5431884057971015,0.008714954422245149,0.48695652173913045,0.5159420289855072,0.48347826086956525,0.011936962482303776,0.38413361169102295,0.46555323590814196,0.38580375782881,0.01099953225245888
2,053e9b87-f151-479d-b534-ba35b786c04c,c,500,0.001,0,1,attn,0.0,./Model/Random_ViT/Color/,2.2593172192573547,2.2232505083084106,0.45055220883534136,0.06375502008032129,0.469,0.0555,0.10391566265060241,0.1495,168402.0,2359296,0.884,1.0,0.7874000000000001,0.20732833863222844,0.813,0.06,0.7712,0.12499023961893983,0.5449275362318841,0.0,0.5373913043478261,0.12442313857280864,0.48695652173913045,0.0,0.5646376811594201,0.17643009448465863,0.38413361169102295,0.0,0.4096033402922756,0.22786327149150495
3,f4a790ab-5f77-4245-916f-d33156c7282a,c,500,0.001,0,1,mlp,0.0,./Model/Random_ViT/Color/,2.675765812397003,2.659209370613098,0.13353413654618473,0.06375502008032129,0.147,0.0555,0.09538152610441768,0.114,4201.0,4718592,0.884,0.936,0.8827999999999999,0.008818163074019449,0.813,0.758,0.8148,0.009217374897442294,0.5449275362318841,0.48405797101449277,0.5443478260869565,0.008074427986773372,0.48695652173913045,0.4115942028985507,0.48289855072463767,0.014033296738446622,0.38413361169102295,0.3277661795407098,0.38914405010438413,0.012072511310898506
4,76313afe-571c-4252-8a62-32d7ced5ad96,c,500,0.001,0,2,attn,0.0,./Model/Random_ViT/Color/,2.2985763549804688,2.258185029029846,0.4299698795180723,0.06375502008032129,0.4465,0.0555,0.12198795180722892,0.147,240920.0,2359296,0.884,0.922,0.9911999999999999,0.007678541528180993,0.813,0.526,0.53,0.05079763774035166,0.5449275362318841,0.37681159420289856,0.3263768115942029,0.04697441062001831,0.48695652173913045,0.43768115942028984,0.21507246376811592,0.05669316256648187,0.38413361169102295,0.15031315240083507,0.1323590814196242,0.031178546476149423
5,786ce362-45cd-4093-bf1d-0db647491432,c,500,0.001,0,2,mlp,0.0,./Model/Random_ViT/Color/,2.6110640168190002,2.5888370275497437,0.17018072289156627,0.06375502008032129,0.174,0.0555,0.10617469879518072,0.135,57726.0,4718592,0.884,0.906,0.8734000000000002,0.02880694360740135,0.813,0.776,0.8176,0.019693653800145844,0.5449275362318841,0.5072463768115942,0.5507246376811594,0.03294671823393119,0.48695652173913045,0.4463768115942029,0.4939130434782609,0.03358318459816865,0.38413361169102295,0.35281837160751567,0.40292275574112735,0.04011394112559649
6,83e499ad-f3d5-4f88-9c89-8083ac42a30a,c,500,0.001,0,3,attn,0.0,./Model/Random_ViT/Color/,2.279305160045624,2.2497496604919434,0.4113955823293173,0.06375502008032129,0.4355,0.0555,0.125,0.1485,232840.0,2359296,0.884,0.661,0.9388,0.016928083175599025,0.813,0.81,0.7416,0.02180458667345017,0.5449275362318841,0.5971014492753624,0.47942028985507257,0.011680835756295591,0.48695652173913045,0.672463768115942,0.41855072463768117,0.03021174312068494,0.38413361169102295,0.5365344467640919,0.2989561586638831,0.023963832738675136
7,480291f4-ea2d-4684-8618-cec59c1e2081,c,500,0.001,0,3,mlp,0.0,./Model/Random_ViT/Color/,2.6543555855751038,2.621883749961853,0.22389558232931728,0.06375502008032129,0.214,0.0555,0.1127008032128514,0.126,106703.0,4718592,0.884,0.93,0.8747999999999999,0.025553082005895126,0.813,0.72,0.8123999999999999,0.023635566420121996,0.5449275362318841,0.46956521739130436,0.5449275362318842,0.03217260736350516,0.48695652173913045,0.43478260869565216,0.4857971014492753,0.03900032044418357,0.38413361169102295,0.29436325678496866,0.392901878914405,0.04072640312850622
8,b2da64ad-43a0-4924-b0a0-7a6286e45842,c,500,0.001,0,4,attn,0.0,./Model/Random_ViT/Color/,2.3000839948654175,2.255808472633362,0.3463855421686747,0.06375502008032129,0.3435,0.0555,0.1127008032128514,0.1525,244723.0,2359296,0.884,1.0,0.8586,0.05366041371439471,0.813,0.245,0.8028000000000001,0.05135523342367358,0.5449275362318841,0.04927536231884058,0.5571014492753623,0.05269944661965688,0.48695652173913045,0.03768115942028986,0.5228985507246376,0.07357067624017372,0.38413361169102295,0.0041753653444676405,0.3870563674321503,0.07687209334690644
9,02cd9d61-add8-4127-8950-63b8f3fdae9a,c,500,0.001,0,4,mlp,0.0,./Model/Random_ViT/Color/,2.6205042004585266,2.5894798040390015,0.24171686746987953,0.06375502008032129,0.2315,0.0555,0.11219879518072289,0.1275,146713.0,4718592,0.884,0.846,0.8966000000000001,0.028772208813367135,0.813,0.805,0.7992000000000001,0.027095387061269276,0.5449275362318841,0.5420289855072464,0.5321739130434782,0.03353311272806857,0.48695652173913045,0.5391304347826087,0.455072463768116,0.030730106158141635,0.38413361169102295,0.430062630480167,0.37118997912317325,0.04066214220940244
