,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.874,0.892,4.814,0.504,4.966,0.493,5.006,0.491,4.137,0.404,2.851,0.564,2.675,0.495,3.259,0.523
1,1,1.434,0.867,5.012,0.508,5.186,0.497,5.164,0.498,3.641,0.606,2.909,0.664,2.573,0.493,3.165,0.64
2,2,1.44,0.872,4.776,0.503,4.919,0.487,4.943,0.482,4.481,0.569,3.615,0.62,2.5,0.508,3.535,0.656
3,3,0.461,0.936,3.74,0.523,3.714,0.518,3.797,0.514,4.702,0.568,4.68,0.541,2.658,0.506,2.741,0.708
4,4,2.18,0.814,4.679,0.507,4.845,0.483,4.862,0.481,5.099,0.531,4.957,0.518,2.667,0.486,4.252,0.595
5,5,3.029,0.734,5.136,0.477,5.477,0.456,5.454,0.461,5.019,0.52,4.652,0.488,2.978,0.496,5.237,0.511
6,6,3.877,0.625,5.207,0.464,5.45,0.462,5.373,0.469,5.395,0.493,4.641,0.475,3.285,0.396,5.033,0.51
7,7,4.662,0.562,5.512,0.471,5.615,0.467,5.624,0.466,5.716,0.435,4.516,0.468,4.81,0.247,5.518,0.431
8,8,5.429,0.515,5.487,0.498,5.549,0.497,5.549,0.496,5.482,0.512,3.372,0.602,7.411,0.116,5.124,0.516
9,9,6.574,0.439,6.402,0.414,6.45,0.415,6.454,0.413,6.15,0.444,5.166,0.435,7.137,0.057,6.071,0.455
10,10,8.262,0.024,8.078,0.04,8.094,0.04,8.146,0.045,7.653,0.026,6.77,0.149,10.42,0.018,7.576,0.047
11,11,12.904,0.0,12.344,0.019,12.413,0.019,12.382,0.019,12.413,0.019,12.413,0.019,12.413,0.019,12.413,0.019
