,value,stream,layer,val acc,train acc
0,class,stream_1,0,0.48359375,0.54375
1,class,stream_1,1,0.643125,0.7075
2,class,stream_1,2,0.88828125,0.8990625
3,class,stream_1,3,0.925625,0.95
4,class,stream_1,4,0.97609375,0.995
5,class,stream_1,5,0.9984375,1.0
6,class,stream_1,6,0.99796875,1.0
7,class,stream_1,7,0.99875,1.0
8,class,stream_1,8,0.998125,1.0
9,class,stream_1,9,0.99890625,1.0
10,class,stream_1,10,0.99921875,1.0
11,class,stream_1,11,0.999375,1.0
12,class,stream_1,12,0.99890625,1.0
13,class,stream_2,0,0.51171875,0.54640625
14,class,stream_2,1,0.7790625,0.81171875
15,class,stream_2,2,0.88390625,0.9084375
16,class,stream_2,3,0.9084375,0.92421875
17,class,stream_2,4,0.98484375,0.9953125
18,class,stream_2,5,0.9978125,1.0
19,class,stream_2,6,0.9984375,1.0
20,class,stream_2,7,0.99875,1.0
21,class,stream_2,8,0.999375,1.0
22,class,stream_2,9,0.999375,1.0
23,class,stream_2,10,0.9990625,1.0
24,class,stream_2,11,0.999375,1.0
25,class,stream_2,12,0.99625,1.0
26,class,cls,0,0.5,0.4953125
27,class,cls,1,0.5184375,0.52703125
28,class,cls,2,0.62328125,0.609375
29,class,cls,3,0.5903125,0.64265625
30,class,cls,4,0.81515625,0.864375
31,class,cls,5,0.980625,0.98671875
32,class,cls,6,0.98890625,0.99625
33,class,cls,7,0.99890625,0.99984375
34,class,cls,8,0.99953125,1.0
35,class,cls,9,0.99953125,1.0
36,class,cls,10,0.9984375,1.0
37,class,cls,11,0.99703125,1.0
38,class,cls,12,1.0,1.0
