,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.006,1.0,1.357,0.69,3.223,0.462,3.491,0.495,1.05,0.588,3.752,0.493
1,1,0.001,1.0,0.422,0.911,1.619,0.719,3.691,0.537,0.661,0.743,3.244,0.574
2,2,0.0,1.0,0.159,0.964,0.633,0.877,3.334,0.578,0.832,0.724,2.841,0.627
3,3,0.0,1.0,0.187,0.961,0.514,0.892,3.06,0.59,1.135,0.612,2.113,0.71
4,4,0.022,0.997,0.691,0.864,2.335,0.616,3.552,0.466,2.19,0.472,3.172,0.523
5,5,2.341,0.583,3.075,0.441,5.384,0.252,4.964,0.281,3.292,0.457,4.599,0.316
