,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.775,0.909,4.336,0.504,4.373,0.501,3.511,0.498,2.058,0.649,1.328,0.617,4.222,0.452
1,1,0.0,1.0,1.198,0.835,1.247,0.828,2.473,0.689,1.418,0.815,1.175,0.703,3.102,0.655
2,2,0.0,1.0,0.595,0.909,0.638,0.908,1.992,0.748,0.626,0.914,1.083,0.725,2.587,0.718
3,3,0.0,1.0,0.793,0.878,0.789,0.881,3.885,0.578,2.402,0.746,1.745,0.687,2.797,0.67
4,4,0.744,0.911,3.447,0.521,3.372,0.536,5.603,0.383,4.817,0.448,4.408,0.488,5.269,0.383
5,5,5.463,0.378,6.601,0.269,6.718,0.26,6.194,0.335,4.535,0.482,4.414,0.447,5.49,0.385
6,6,4.41,0.344,5.435,0.259,5.471,0.257,4.491,0.393,4.423,0.396,5.909,0.177,3.902,0.421
7,7,4.313,0.284,5.014,0.245,4.883,0.26,4.978,0.336,5.013,0.342,4.86,0.249,3.733,0.403
8,8,6.098,0.163,6.355,0.17,6.372,0.164,7.243,0.154,5.622,0.264,5.291,0.189,5.689,0.231
9,9,10.286,0.005,10.313,0.014,10.357,0.009,9.503,0.013,10.402,0.013,8.479,0.012,9.882,0.012
10,10,11.285,0.006,11.283,0.014,11.323,0.011,10.978,0.013,11.413,0.013,10.373,0.014,11.125,0.013
11,11,11.875,0.006,11.75,0.013,11.784,0.011,11.75,0.013,11.75,0.013,11.75,0.013,11.75,0.013
