,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,1,0.03,0.993,1.087,0.841,1.788,0.771,5.053,0.513,2.3,0.672,1.161,0.549,5.155,0.529
1,2,0.005,0.999,0.508,0.933,0.824,0.89,4.679,0.555,0.787,0.891,1.303,0.581,4.813,0.594
2,3,0.001,1.0,0.494,0.936,0.915,0.885,3.002,0.703,1.313,0.835,1.869,0.549,3.647,0.667
3,4,0.479,0.916,2.631,0.681,4.758,0.51,5.008,0.502,4.778,0.484,2.488,0.509,5.697,0.447
