,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.136,0.851,4.049,0.562,5.97,0.46,5.123,0.532,4.952,0.522,1.164,0.615,5.047,0.539
1,1,0.454,0.955,2.364,0.756,4.918,0.569,4.635,0.579,3.142,0.666,1.708,0.551,3.867,0.655
2,2,0.147,0.987,1.235,0.875,2.52,0.753,5.6,0.54,1.221,0.866,2.052,0.539,3.716,0.678
3,3,0.093,0.99,0.922,0.905,2.39,0.771,2.801,0.733,4.987,0.573,2.998,0.499,2.275,0.785
4,4,3.8,0.675,4.85,0.579,6.14,0.504,4.318,0.607,4.662,0.572,3.476,0.482,4.5,0.604
5,5,4.332,0.63,5.141,0.564,6.265,0.498,4.907,0.592,5.381,0.522,4.411,0.467,4.68,0.598
6,6,3.936,0.595,4.54,0.534,6.349,0.454,4.763,0.549,4.752,0.512,7.238,0.126,4.146,0.576
7,7,3.474,0.489,4.091,0.398,6.336,0.323,5.067,0.426,3.36,0.453,8.714,0.066,4.447,0.42
8,8,4.634,0.499,4.904,0.443,6.163,0.399,5.258,0.447,3.306,0.462,10.209,0.065,4.681,0.468
9,9,5.999,0.145,6.125,0.132,7.21,0.088,6.013,0.209,3.921,0.298,11.11,0.048,5.745,0.269
10,10,9.493,0.04,9.422,0.05,9.971,0.024,8.804,0.051,7.316,0.055,9.953,0.05,8.96,0.048
