,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.474625,0.589875,0.238375,0.3985,0.07825
1,1,0.560625,0.66,0.531875,0.50275,0.561
2,2,0.75925,0.84275,0.458375,0.604,0.31275
3,3,0.822,0.895125,0.202,0.226,0.178
4,4,0.89375,0.9715,0.123875,0.10225,0.1455
5,5,0.94825,0.987875,0.016625,0.029,0.00425
6,6,0.98275,0.99825,0.019125,0.022,0.01625
7,7,0.9925,0.9995,0.020625,0.02475,0.0165
8,8,0.994,1.0,0.02725,0.02825,0.02625
9,9,0.9935,0.999875,0.03,0.03,0.03
10,10,0.99325,1.0,0.03075,0.03075,0.03075
11,11,0.99225,1.0,0.03075,0.03075,0.03075
