,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.474625,0.589875,0.067125,0.0315,0.10275
1,1,0.560625,0.66,0.4815,0.4765,0.4865
2,2,0.75925,0.84275,0.4455,0.33775,0.55325
3,3,0.822,0.895125,0.755125,0.7765,0.73375
4,4,0.89375,0.9715,0.83225,0.8985,0.766
5,5,0.94825,0.987875,0.97725,0.9685,0.986
6,6,0.98275,0.99825,0.910875,0.91025,0.9115
7,7,0.9925,0.9995,0.216,0.25625,0.17575
8,8,0.994,1.0,0.03875,0.0365,0.041
9,9,0.9935,0.999875,0.03025,0.02975,0.03075
10,10,0.99325,1.0,0.030625,0.03075,0.0305
11,11,0.99225,1.0,0.03075,0.03075,0.03075
