,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.358,0.425,1.894,0.32,1.923,0.325,2.031,0.358,2.084,0.398,1.808,0.382
1,1,1.735,0.355,2.17,0.284,2.262,0.287,2.419,0.311,2.202,0.323,2.424,0.286
2,2,2.065,0.31,2.357,0.267,2.448,0.263,2.349,0.253,2.268,0.256,2.315,0.268
3,3,2.365,0.26,2.533,0.233,2.654,0.233,2.618,0.23,2.47,0.254,2.535,0.232
4,4,2.644,0.218,2.745,0.206,2.843,0.198,2.784,0.218,2.737,0.198,2.772,0.204
5,5,2.742,0.214,2.806,0.205,2.906,0.196,2.825,0.201,2.837,0.193,2.835,0.198
