,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.535375,0.556,0.053625,0.0535,0.05375
1,1,0.554875,0.643875,0.048125,0.0495,0.04675
2,2,0.818,0.889875,0.044,0.04725,0.04075
3,3,0.898875,0.966875,0.059375,0.0705,0.04825
4,4,0.89925,0.989125,0.051375,0.0605,0.04225
5,5,0.976,0.99075,0.046875,0.053,0.04075
6,6,0.969,0.99375,0.050125,0.0515,0.04875
7,7,0.975875,0.994,0.051125,0.05175,0.0505
8,8,0.975875,0.997875,0.052625,0.052,0.05325
9,9,0.973125,0.995125,0.0535,0.05375,0.05325
10,10,0.974,0.992125,0.0535,0.0535,0.0535
11,11,0.969625,0.993375,0.0535,0.0535,0.0535
