,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.535375,0.556,0.05375,0.053,0.0545
1,1,0.554875,0.643875,0.063375,0.06225,0.0645
2,2,0.818,0.889875,0.1125,0.11625,0.10875
3,3,0.898875,0.966875,0.215625,0.17475,0.2565
4,4,0.89925,0.989125,0.14975,0.11025,0.18925
5,5,0.976,0.99075,0.10125,0.0855,0.117
6,6,0.969,0.99375,0.062875,0.06025,0.0655
7,7,0.975875,0.994,0.056125,0.0555,0.05675
8,8,0.975875,0.997875,0.0545,0.05475,0.05425
9,9,0.973125,0.995125,0.053375,0.05325,0.0535
10,10,0.974,0.992125,0.0535,0.0535,0.0535
11,11,0.969625,0.993375,0.0535,0.0535,0.0535
