,layer,train_loss,train_acc,test_loss,test_acc,sampled_loss,sampled_acc,half_sampled_loss,half_sampled_acc,interpolated_loss,interpolated_acc
0,0,0.014,0.998,0.602,0.883,1.444,0.734,1.194,0.784,0.839,0.84
1,1,0.009,0.999,0.167,0.964,0.385,0.922,0.045,0.989,0.051,0.986
2,2,0.003,1.0,0.215,0.95,0.375,0.924,0.047,0.989,0.048,0.992
3,3,0.331,0.945,1.739,0.683,1.385,0.744,1.318,0.755,0.743,0.862
