,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.003,1.0,0.172,0.953,0.571,0.829,1.182,0.676,0.672,0.732,1.193,0.718
1,1,0.003,1.0,0.224,0.946,0.584,0.832,0.98,0.736,0.825,0.744,0.624,0.829
2,2,0.011,1.0,0.522,0.852,1.665,0.603,2.137,0.545,1.859,0.531,2.048,0.569
3,3,0.092,0.991,1.114,0.668,2.624,0.442,2.125,0.512,1.285,0.526,2.337,0.505
4,4,1.47,0.521,2.602,0.295,3.928,0.204,2.705,0.399,1.924,0.444,2.459,0.395
5,5,2.971,0.261,3.693,0.187,4.36,0.173,2.699,0.341,2.148,0.392,2.498,0.377
6,6,3.623,0.19,4.089,0.139,4.543,0.17,2.865,0.341,2.081,0.376,2.794,0.372
7,7,4.096,0.141,4.406,0.114,4.69,0.149,3.157,0.287,2.263,0.325,3.016,0.313
