,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.535375,0.556,0.05275,0.053,0.0525
1,1,0.554875,0.643875,0.05025,0.0515,0.049
2,2,0.818,0.889875,0.04525,0.0475,0.043
3,3,0.898875,0.966875,0.04625,0.054,0.0385
4,4,0.89925,0.989125,0.0445,0.04975,0.03925
5,5,0.976,0.99075,0.04675,0.04975,0.04375
6,6,0.969,0.99375,0.050375,0.05175,0.049
7,7,0.975875,0.994,0.052,0.05225,0.05175
8,8,0.975875,0.997875,0.052875,0.0525,0.05325
9,9,0.973125,0.995125,0.053375,0.0535,0.05325
10,10,0.974,0.992125,0.0535,0.0535,0.0535
11,11,0.969625,0.993375,0.0535,0.0535,0.0535
