,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.501,0.54625,0.10625,0.10675,0.10575
1,1,0.536875,0.628375,0.102375,0.10275,0.102
2,2,0.7755,0.814,0.08975,0.09025,0.08925
3,3,0.8955,0.940875,0.08375,0.086,0.0815
4,4,0.959625,0.978,0.087125,0.0915,0.08275
5,5,0.967,0.988,0.09525,0.0975,0.093
6,6,0.9705,0.988375,0.10075,0.10125,0.10025
7,7,0.963125,0.991375,0.104375,0.1045,0.10425
8,8,0.9675,0.989,0.104375,0.10425,0.1045
9,9,0.969375,0.987625,0.105,0.105,0.105
10,10,0.94075,0.982125,0.105,0.105,0.105
11,11,0.952375,0.9825,0.105,0.105,0.105
