,layer,train_loss,train_acc,test_loss,test_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,2.107,0.354,2.138,0.345,2.321,0.5,3.319,0.501,1.552,0.5
1,1,4.353,0.463,4.414,0.458,4.285,0.5,3.343,0.5,4.093,0.5
2,2,8.431,0.108,8.501,0.106,4.621,0.5,4.295,0.5,4.537,0.498
3,3,9.805,0.005,9.786,0.006,9.786,0.006,9.785,0.006,9.786,0.006
4,4,9.805,0.005,9.786,0.006,9.779,0.006,9.778,0.006,9.779,0.006
5,5,9.804,0.005,9.786,0.006,9.782,0.006,9.782,0.006,9.782,0.006
6,6,4.28,0.331,4.442,0.324,5.401,0.168,5.503,0.169,4.49,0.272
