,layer,train_loss,train_acc,test_loss,test_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.016,0.996,2.814,0.448,4.044,0.477,1.415,0.52,3.873,0.491
1,1,0.01,1.0,2.529,0.443,3.792,0.494,1.052,0.6,3.616,0.496
2,2,0.034,0.988,2.954,0.418,3.833,0.5,1.013,0.548,3.711,0.504
3,3,0.086,0.976,2.786,0.42,3.1,0.464,1.388,0.524,3.27,0.494
4,4,0.219,0.931,2.299,0.406,2.057,0.431,1.998,0.427,1.704,0.385
5,5,0.232,0.92,1.999,0.44,2.23,0.455,4.077,0.277,1.461,0.448
6,6,0.086,0.992,1.518,0.588,2.445,0.422,7.237,0.026,1.907,0.47
