,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.556875,0.58025,0.562125,0.55925,0.565
1,1,0.515125,0.614,0.55725,0.55925,0.55525
2,2,0.575,0.712875,0.573,0.57225,0.57375
3,3,0.74,0.838,0.553375,0.5605,0.54625
4,4,0.755125,0.861,0.56925,0.581,0.5575
5,5,0.8255,0.916375,0.576625,0.5785,0.57475
6,6,0.900625,0.96575,0.551375,0.567,0.53575
7,7,0.921625,0.982875,0.56325,0.57725,0.54925
8,8,0.962125,0.99175,0.537875,0.54525,0.5305
9,9,0.955375,0.992,0.556125,0.55675,0.5555
10,10,0.959875,0.990375,0.5545,0.555,0.554
11,11,0.919,0.983125,0.555,0.555,0.555
