,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.552125,0.577625,0.556125,0.55475,0.5575
1,1,0.53375,0.60875,0.562,0.56,0.564
2,2,0.578625,0.717,0.550875,0.552,0.54975
3,3,0.740125,0.837875,0.55675,0.54975,0.56375
4,4,0.789125,0.88275,0.517125,0.514,0.52025
5,5,0.829375,0.906375,0.509375,0.50675,0.512
6,6,0.896125,0.969125,0.49775,0.51575,0.47975
7,7,0.9325,0.975625,0.523625,0.53,0.51725
8,8,0.920375,0.989375,0.56375,0.56275,0.56475
9,9,0.96075,0.992625,0.551875,0.55125,0.5525
10,10,0.959,0.98625,0.554875,0.5545,0.55525
11,11,0.944375,0.987375,0.555,0.555,0.555
