,layer,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc,added_loss,added_acc
0,0,1.105,0.531,3.577,0.516,3.321,0.516,3.601,0.506
1,1,1.41,0.703,3.922,0.503,3.622,0.512,4.048,0.441
2,2,3.748,0.559,4.536,0.494,4.64,0.509,4.575,0.494
3,3,5.57,0.522,4.926,0.506,5.223,0.484,5.106,0.5
4,4,4.789,0.509,5.568,0.494,5.403,0.509,5.845,0.463
5,5,5.551,0.438,5.436,0.516,4.932,0.553,5.653,0.497
