,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.37,0.863,2.046,0.501,2.012,0.504,2.35,0.484,3.18,0.499,1.404,0.57,0.965,0.521,3.489,0.508
1,1,0.26,0.916,2.525,0.549,2.55,0.54,2.972,0.521,4.968,0.5,1.456,0.689,0.974,0.523,4.526,0.549
2,2,0.152,0.948,2.053,0.631,1.991,0.642,2.59,0.601,4.733,0.524,1.683,0.728,1.059,0.53,3.879,0.562
3,3,0.481,0.855,2.459,0.553,2.44,0.584,3.045,0.55,4.063,0.436,3.77,0.49,1.095,0.477,4.294,0.52
4,4,4.081,0.352,5.103,0.265,5.114,0.261,5.637,0.298,4.462,0.319,4.068,0.319,2.196,0.454,4.495,0.348
5,5,5.108,0.249,5.611,0.223,5.626,0.223,6.142,0.263,4.521,0.309,5.055,0.164,3.408,0.465,4.69,0.315
6,6,5.352,0.217,5.811,0.2,5.74,0.189,6.093,0.255,4.617,0.254,4.65,0.15,4.022,0.461,4.796,0.249
7,7,5.778,0.18,6.109,0.164,6.048,0.16,6.26,0.245,5.491,0.186,4.745,0.121,4.603,0.34,5.511,0.173
8,8,6.17,0.141,6.358,0.144,6.337,0.141,6.339,0.232,5.072,0.139,5.041,0.112,4.222,0.208,4.707,0.175
9,9,7.065,0.109,7.097,0.111,7.029,0.113,6.818,0.218,5.692,0.15,6.433,0.116,4.428,0.16,5.819,0.145
10,10,7.925,0.081,7.818,0.087,7.756,0.081,7.311,0.202,7.297,0.08,8.039,0.073,6.018,0.085,7.298,0.081
11,11,10.087,0.038,9.818,0.045,9.75,0.042,8.746,0.174,9.75,0.042,9.75,0.042,9.75,0.042,9.75,0.042
