,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.028,0.99,0.666,0.838,0.748,0.822,1.314,0.733,3.564,0.504,1.047,0.665,0.782,0.582,3.029,0.578
1,1,0.006,0.999,0.419,0.902,0.515,0.89,1.101,0.798,4.743,0.505,1.854,0.64,0.795,0.605,2.67,0.645
2,2,0.005,0.999,0.408,0.91,0.412,0.91,1.259,0.781,4.364,0.527,1.81,0.687,1.13,0.543,2.377,0.649
3,3,0.039,0.99,0.694,0.855,0.771,0.836,1.855,0.691,3.627,0.544,2.994,0.597,1.211,0.49,3.969,0.517
4,4,3.349,0.444,4.198,0.361,4.303,0.366,5.365,0.31,4.79,0.243,3.987,0.304,2.209,0.453,5.271,0.204
5,5,4.455,0.328,4.932,0.297,4.967,0.303,5.971,0.264,5.326,0.216,5.377,0.189,3.025,0.441,5.056,0.257
6,6,4.857,0.264,5.239,0.246,5.238,0.248,5.992,0.24,5.203,0.197,4.933,0.126,3.852,0.406,5.607,0.194
7,7,5.337,0.2,5.614,0.191,5.619,0.184,6.118,0.232,5.633,0.156,4.583,0.122,4.425,0.316,5.698,0.135
8,8,5.835,0.162,6.014,0.159,6.063,0.149,6.189,0.228,5.092,0.16,5.031,0.119,4.188,0.167,5.129,0.143
9,9,6.764,0.116,6.783,0.124,6.758,0.126,6.64,0.224,5.948,0.13,6.585,0.126,4.482,0.12,5.701,0.135
10,10,7.738,0.086,7.635,0.089,7.599,0.089,7.198,0.209,7.154,0.079,7.848,0.084,6.021,0.09,7.314,0.075
11,11,10.087,0.038,9.818,0.045,9.75,0.042,8.746,0.174,9.75,0.042,9.75,0.042,9.75,0.042,9.75,0.042
