,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.894,0.731,4.927,0.476,4.842,0.486,4.94,0.481,5.681,0.5,5.1,0.501,1.321,0.49,5.593,0.499
1,1,2.093,0.713,4.991,0.486,5.006,0.502,5.055,0.477,5.565,0.5,5.251,0.511,1.524,0.518,5.754,0.5
2,2,2.573,0.709,5.339,0.5,5.415,0.485,5.513,0.487,6.359,0.5,5.005,0.551,1.876,0.489,6.451,0.513
3,3,3.461,0.655,5.421,0.512,5.431,0.52,5.45,0.512,6.573,0.504,6.38,0.51,1.887,0.5,5.839,0.546
4,4,6.126,0.516,7.392,0.427,7.312,0.434,7.326,0.434,6.535,0.406,5.217,0.482,1.982,0.499,6.814,0.4
5,5,7.653,0.336,9.253,0.252,9.28,0.241,9.324,0.24,8.391,0.3,6.405,0.335,4.181,0.338,7.538,0.341
6,6,7.657,0.197,9.104,0.14,8.982,0.15,9.129,0.145,9.069,0.15,5.878,0.218,11.085,0.02,7.765,0.197
7,7,8.939,0.102,9.587,0.091,9.738,0.085,9.803,0.081,8.743,0.161,8.006,0.077,11.513,0.013,7.99,0.168
8,8,9.867,0.036,10.253,0.025,10.536,0.022,10.488,0.023,10.816,0.012,8.252,0.033,12.288,0.009,9.384,0.026
9,9,11.064,0.009,11.284,0.009,11.184,0.011,11.206,0.01,10.742,0.007,12.033,0.006,10.762,0.005,10.232,0.006
10,10,13.221,0.006,13.166,0.006,13.063,0.006,13.107,0.007,13.085,0.005,13.829,0.006,11.119,0.008,12.79,0.005
11,11,14.772,0.006,14.689,0.006,14.699,0.007,14.629,0.007,14.699,0.007,14.699,0.007,14.699,0.007,14.699,0.007
