,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.084,0.991,1.827,0.758,1.756,0.763,2.044,0.694,0.553,0.895,0.662,0.778,1.749,0.758
1,1,0.0,1.0,0.415,0.932,0.457,0.926,0.771,0.861,0.656,0.904,0.822,0.821,1.022,0.861
2,2,0.046,0.996,0.711,0.894,0.852,0.872,1.384,0.812,1.023,0.862,1.067,0.787,1.805,0.785
3,3,0.143,0.988,1.399,0.794,1.427,0.789,2.683,0.674,1.483,0.808,2.509,0.6,2.51,0.69
4,4,4.31,0.517,5.528,0.4,5.431,0.408,4.714,0.467,4.589,0.494,3.487,0.473,4.407,0.449
5,5,5.457,0.438,6.331,0.33,6.368,0.331,4.897,0.48,4.34,0.479,4.884,0.301,4.817,0.486
6,6,4.681,0.344,5.526,0.271,5.412,0.278,4.904,0.381,5.136,0.397,6.68,0.113,4.139,0.432
7,7,4.402,0.32,5.121,0.273,4.956,0.277,5.43,0.309,4.41,0.413,6.75,0.166,4.567,0.406
8,8,6.681,0.166,7.002,0.168,6.766,0.163,6.504,0.208,7.168,0.194,6.734,0.194,6.344,0.227
9,9,10.703,0.002,10.867,0.003,10.714,0.009,10.63,0.003,11.16,0.003,9.74,0.003,10.587,0.003
10,10,11.336,0.003,11.444,0.003,11.279,0.007,11.165,0.004,11.521,0.003,10.779,0.011,11.343,0.003
11,11,11.97,0.003,11.899,0.004,11.824,0.007,11.899,0.004,11.899,0.004,11.899,0.004,11.899,0.004
