,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,4.596,0.552,5.23,0.498,5.59,0.48,5.252,0.491,5.268,0.486,5.078,0.501
1,1,4.89,0.532,5.512,0.477,5.729,0.485,5.513,0.477,5.513,0.477,5.513,0.477
2,2,4.83,0.527,5.446,0.481,5.676,0.484,5.402,0.481,5.307,0.48,5.41,0.481
3,3,4.826,0.528,5.439,0.48,5.668,0.484,5.396,0.483,5.258,0.485,5.397,0.484
4,4,4.83,0.528,5.445,0.48,5.671,0.485,5.425,0.48,5.258,0.484,5.402,0.478
5,5,4.838,0.528,5.456,0.481,5.678,0.485,5.436,0.477,5.243,0.481,5.442,0.477
6,6,4.839,0.533,5.46,0.477,5.681,0.486,5.435,0.478,5.354,0.477,5.447,0.477
7,7,4.837,0.533,5.46,0.477,5.68,0.485,5.448,0.478,5.36,0.478,5.43,0.478
8,8,4.838,0.532,5.461,0.477,5.68,0.485,5.43,0.478,5.375,0.478,5.445,0.476
9,9,4.838,0.531,5.459,0.477,5.678,0.486,5.413,0.477,5.402,0.478,5.41,0.48
10,10,4.843,0.531,5.464,0.477,5.682,0.486,5.43,0.476,5.429,0.477,5.429,0.478
11,11,4.891,0.531,5.513,0.477,5.729,0.485,5.513,0.477,5.513,0.477,5.513,0.477
