,layer,val acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.50625,0.687,0.047,0.04,0.054
1,1,0.522375,0.725125,0.28525,0.4135,0.157
2,2,0.694625,0.784375,0.469,0.50225,0.43575
3,3,0.8115,0.9285,0.92475,0.91525,0.93425
4,4,0.90925,0.96925,0.8925,0.877,0.908
5,5,0.987,1.0,0.983875,0.982,0.98575
6,6,0.992875,1.0,0.76375,0.812,0.7155
