,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.7,0.73,1.434,0.532,1.492,0.52,1.839,0.506,1.147,0.496,1.046,0.521,2.076,0.489,1.118,0.501
1,1,0.468,0.838,1.889,0.595,1.982,0.581,3.104,0.506,2.355,0.519,1.686,0.565,2.008,0.497,2.308,0.534
2,2,0.424,0.864,1.75,0.629,1.892,0.627,3.18,0.528,2.825,0.511,2.305,0.572,2.066,0.507,2.56,0.569
3,3,0.252,0.937,1.67,0.651,1.725,0.632,3.455,0.528,2.67,0.558,1.755,0.668,1.883,0.508,2.62,0.593
4,4,0.274,0.942,1.648,0.697,1.581,0.698,3.385,0.553,1.967,0.683,1.783,0.688,2.155,0.504,1.914,0.707
5,5,0.462,0.871,1.584,0.638,1.476,0.65,3.076,0.532,1.175,0.697,2.423,0.612,1.922,0.506,1.381,0.676
6,6,0.221,0.956,1.07,0.731,1.007,0.751,2.599,0.565,1.185,0.73,2.069,0.555,1.9,0.492,1.442,0.687
7,7,0.311,0.911,1.093,0.753,1.048,0.757,2.347,0.602,1.994,0.642,1.175,0.658,2.059,0.474,1.455,0.677
8,8,0.276,0.952,0.607,0.86,0.623,0.844,1.591,0.733,1.681,0.426,1.587,0.598,1.382,0.443,1.496,0.669
9,9,0.34,0.934,0.569,0.878,0.567,0.861,1.485,0.757,2.63,0.247,0.708,0.804,1.058,0.51,0.605,0.88
10,10,1.124,0.77,1.152,0.751,1.255,0.749,1.917,0.608,4.065,0.252,0.948,0.775,1.375,0.607,0.844,0.803
11,11,11.52,0.0,11.087,0.009,11.113,0.009,9.992,0.053,10.908,0.008,10.939,0.008,10.898,0.008,10.908,0.008
