,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.0,1.0,0.852,0.853,2.014,0.723,1.891,0.666,0.611,0.833,0.945,0.468,1.576,0.759
1,1,0.0,1.0,0.313,0.956,0.807,0.874,1.135,0.802,0.467,0.917,0.879,0.514,1.005,0.852
2,2,0.011,0.999,0.57,0.917,1.12,0.847,2.603,0.659,1.351,0.814,1.581,0.505,2.095,0.733
3,3,0.012,0.999,0.952,0.873,2.115,0.732,3.056,0.613,2.58,0.676,2.448,0.488,2.007,0.734
4,4,1.765,0.671,4.121,0.391,6.876,0.275,5.319,0.433,3.891,0.469,4.09,0.497,4.891,0.419
5,5,5.118,0.298,6.553,0.209,8.256,0.141,5.03,0.383,4.61,0.362,5.611,0.433,4.393,0.413
6,6,5.688,0.076,6.883,0.057,8.645,0.035,5.431,0.103,7.214,0.112,10.663,0.003,4.501,0.159
7,7,5.784,0.044,7.124,0.029,8.479,0.013,7.972,0.014,8.77,0.012,11.014,0.004,5.698,0.021
8,8,5.764,0.019,7.156,0.014,8.853,0.012,8.423,0.003,9.125,0.002,11.062,0.002,6.827,0.004
9,9,7.436,0.001,8.305,0.002,10.054,0.006,8.105,0.002,10.436,0.001,10.011,0.001,6.787,0.002
10,10,10.389,0.001,10.675,0.001,11.407,0.006,9.949,0.001,11.35,0.001,8.885,0.001,9.659,0.001
11,11,13.036,0.001,12.99,0.001,12.58,0.006,12.99,0.001,12.99,0.001,12.99,0.001,12.99,0.001
