,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.014,0.995,0.331,0.918,0.257,0.924,0.335,0.919,2.331,0.541,0.785,0.775,0.81,0.597,1.685,0.676
1,1,0.005,0.998,0.456,0.904,0.385,0.919,0.439,0.912,2.51,0.59,0.847,0.828,0.74,0.631,1.171,0.806
2,2,0.065,0.981,1.37,0.733,1.235,0.751,1.332,0.726,3.054,0.542,1.973,0.672,1.136,0.525,2.855,0.576
3,3,0.959,0.718,3.171,0.44,3.038,0.453,3.037,0.446,4.204,0.412,3.405,0.479,1.517,0.442,4.959,0.327
4,4,5.611,0.157,6.707,0.109,6.599,0.119,6.666,0.117,3.878,0.315,4.402,0.395,2.581,0.426,4.469,0.273
5,5,6.867,0.098,7.382,0.087,7.435,0.093,7.45,0.089,5.293,0.211,6.259,0.162,3.297,0.146,5.439,0.225
6,6,7.551,0.068,7.87,0.073,7.839,0.085,7.956,0.065,6.706,0.106,7.648,0.075,4.325,0.097,6.807,0.111
7,7,7.64,0.051,8.038,0.051,7.921,0.062,8.068,0.051,7.311,0.068,6.279,0.164,6.71,0.113,7.089,0.077
8,8,8.036,0.038,8.265,0.044,8.217,0.054,8.276,0.042,8.079,0.04,6.95,0.076,8.32,0.038,7.552,0.054
9,9,8.631,0.037,8.781,0.039,8.715,0.052,8.807,0.041,8.873,0.04,8.162,0.044,8.572,0.037,8.733,0.041
10,10,9.323,0.033,9.331,0.038,9.284,0.045,9.37,0.04,9.646,0.036,9.526,0.035,9.419,0.036,9.699,0.035
11,11,11.046,0.019,10.827,0.03,10.789,0.035,10.877,0.032,10.789,0.035,10.789,0.035,10.789,0.035,10.789,0.035
