,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.62,0.794,2.014,0.48,2.034,0.486,2.029,0.477,2.839,0.501,1.889,0.503,1.077,0.517,3.322,0.508
1,1,0.842,0.77,2.938,0.496,3.074,0.483,3.057,0.488,4.216,0.502,3.107,0.559,1.025,0.534,3.846,0.547
2,2,0.839,0.735,3.104,0.469,3.212,0.467,3.164,0.465,5.039,0.505,2.545,0.631,1.324,0.499,3.883,0.524
3,3,2.253,0.497,4.712,0.299,4.732,0.297,4.807,0.306,3.742,0.393,3.318,0.391,1.336,0.425,5.53,0.346
4,4,6.098,0.123,7.033,0.111,7.052,0.112,7.109,0.111,3.953,0.323,4.293,0.284,2.386,0.365,4.118,0.321
5,5,7.235,0.086,7.631,0.085,7.663,0.085,7.72,0.088,5.453,0.205,5.844,0.198,3.584,0.168,5.668,0.202
6,6,7.634,0.063,7.914,0.075,7.98,0.075,8.038,0.064,6.744,0.112,7.316,0.083,4.236,0.086,6.812,0.123
7,7,7.991,0.04,8.193,0.055,8.182,0.057,8.271,0.052,7.307,0.059,8.148,0.05,4.836,0.085,7.594,0.059
8,8,8.086,0.035,8.297,0.043,8.261,0.051,8.289,0.037,7.543,0.044,6.619,0.093,8.088,0.038,7.376,0.041
9,9,8.659,0.032,8.771,0.042,8.718,0.049,8.78,0.039,8.892,0.036,8.295,0.043,8.709,0.035,8.596,0.039
10,10,9.344,0.029,9.319,0.039,9.288,0.041,9.363,0.036,9.579,0.034,9.022,0.037,9.262,0.035,9.492,0.035
11,11,11.046,0.019,10.827,0.03,10.789,0.035,10.877,0.032,10.789,0.035,10.789,0.035,10.789,0.035,10.789,0.035
