,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.005,1.0,1.698,0.767,1.774,0.756,2.186,0.644,0.647,0.872,1.887,0.515,1.143,0.813
1,1,0.0,1.0,0.557,0.906,0.58,0.906,1.591,0.727,0.435,0.912,2.033,0.537,0.56,0.901
2,2,0.012,0.999,0.74,0.885,0.754,0.887,2.164,0.688,0.844,0.872,3.607,0.485,1.447,0.821
3,3,0.03,0.998,1.403,0.8,1.39,0.804,3.725,0.535,2.976,0.647,4.746,0.501,2.735,0.665
4,4,3.28,0.567,5.258,0.378,5.169,0.374,4.871,0.464,3.921,0.498,4.984,0.501,4.058,0.472
5,5,4.393,0.476,6.225,0.295,5.963,0.307,5.212,0.456,4.229,0.476,5.458,0.501,4.274,0.482
6,6,2.999,0.465,4.711,0.284,4.546,0.303,4.772,0.381,4.204,0.4,9.389,0.052,3.623,0.457
7,7,2.9,0.424,4.275,0.296,4.052,0.303,6.269,0.244,4.883,0.336,10.811,0.009,3.97,0.432
8,8,4.959,0.174,6.059,0.144,5.876,0.141,5.99,0.174,5.947,0.171,11.103,0.007,4.875,0.256
9,9,6.839,0.002,7.902,0.003,7.709,0.009,9.257,0.003,9.406,0.004,9.306,0.003,8.131,0.003
10,10,10.13,0.003,10.466,0.004,10.371,0.008,10.606,0.004,10.7,0.004,10.019,0.003,10.309,0.003
11,11,11.97,0.003,11.909,0.004,11.824,0.007,11.909,0.004,11.909,0.004,11.909,0.004,11.909,0.004
