,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.144,0.76,3.365,0.5,3.252,0.501,3.31,0.486,2.823,0.516,2.3,0.553,0.967,0.535,2.858,0.494
1,1,1.306,0.781,3.706,0.493,3.624,0.499,3.759,0.488,2.784,0.529,1.718,0.661,1.138,0.486,2.962,0.537
2,2,0.502,0.891,3.375,0.508,3.387,0.499,3.365,0.516,3.051,0.587,1.852,0.738,1.35,0.496,1.74,0.727
3,3,0.676,0.877,3.397,0.502,3.391,0.503,3.439,0.505,2.922,0.592,4.091,0.51,1.737,0.494,2.754,0.636
4,4,1.202,0.803,3.719,0.469,3.517,0.498,3.71,0.481,2.706,0.593,3.07,0.568,2.043,0.498,2.959,0.567
5,5,3.882,0.528,4.472,0.471,4.468,0.479,4.518,0.468,3.875,0.542,3.396,0.522,3.177,0.438,3.689,0.54
6,6,3.332,0.525,4.052,0.453,4.026,0.452,4.112,0.456,4.059,0.508,2.86,0.51,5.874,0.117,3.488,0.525
7,7,3.44,0.465,3.996,0.399,4.022,0.392,4.047,0.394,3.58,0.441,3.226,0.424,6.492,0.046,3.184,0.421
8,8,3.801,0.502,4.125,0.428,4.079,0.418,4.201,0.41,4.056,0.419,3.343,0.427,7.808,0.03,3.85,0.462
9,9,5.269,0.073,5.573,0.086,5.553,0.081,5.682,0.082,5.683,0.071,4.622,0.129,8.073,0.024,5.18,0.131
10,10,7.462,0.007,7.341,0.031,7.384,0.032,7.469,0.025,7.244,0.025,6.023,0.054,8.139,0.025,6.588,0.035
11,11,10.726,0.0,10.163,0.026,10.218,0.024,10.275,0.019,10.218,0.024,10.218,0.024,10.218,0.024,10.218,0.024
