,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.055,0.78,3.268,0.505,3.301,0.501,3.337,0.489,2.895,0.523,2.384,0.518,0.954,0.515,3.007,0.507
1,1,0.176,0.965,1.864,0.721,1.945,0.688,1.993,0.69,2.932,0.578,2.265,0.603,1.035,0.501,2.956,0.593
2,2,0.016,0.997,0.724,0.886,0.683,0.89,0.651,0.899,3.642,0.565,2.811,0.632,1.417,0.504,2.027,0.74
3,3,0.005,0.999,0.605,0.905,0.663,0.895,0.677,0.897,2.513,0.649,4.586,0.505,1.589,0.499,2.669,0.654
4,4,0.138,0.974,1.57,0.78,1.43,0.795,1.524,0.783,2.617,0.646,4.49,0.506,2.082,0.498,3.507,0.578
5,5,3.403,0.572,4.054,0.507,4.109,0.509,4.217,0.489,4.083,0.526,3.608,0.494,3.078,0.437,3.86,0.525
6,6,3.159,0.537,3.975,0.455,3.982,0.452,4.089,0.451,4.253,0.495,2.87,0.529,5.643,0.125,3.658,0.517
7,7,3.243,0.496,3.704,0.425,3.82,0.424,3.864,0.424,3.695,0.461,3.021,0.452,6.416,0.048,3.362,0.433
8,8,3.598,0.511,3.941,0.433,3.889,0.433,3.975,0.435,4.285,0.406,2.927,0.472,7.636,0.03,3.76,0.462
9,9,4.907,0.061,5.264,0.076,5.262,0.084,5.382,0.069,5.579,0.071,4.137,0.156,8.031,0.025,4.916,0.138
10,10,7.429,0.006,7.27,0.035,7.298,0.03,7.38,0.028,7.061,0.028,6.032,0.062,8.216,0.025,6.505,0.036
11,11,10.726,0.0,10.163,0.026,10.218,0.024,10.275,0.019,10.218,0.024,10.218,0.024,10.218,0.024,10.218,0.024
