,layer,train_loss,train_acc,test_loss,test_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,4.607,0.086,4.575,0.1,2.337,0.354,1.954,0.487,2.205,0.353
1,1,6.974,0.061,7.046,0.076,3.382,0.398,2.558,0.44,3.179,0.397
2,2,7.344,0.05,7.447,0.064,4.663,0.173,4.824,0.12,4.604,0.174
3,3,7.785,0.052,7.841,0.063,7.237,0.133,7.595,0.081,7.22,0.131
4,4,7.831,0.045,7.863,0.06,7.632,0.063,7.705,0.061,7.64,0.063
