,layer,train_loss,train_acc,test_loss,test_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.037,0.991,1.149,0.669,3.877,0.48,1.437,0.514,3.501,0.483
1,1,0.005,1.0,0.786,0.789,5.415,0.502,1.683,0.5,5.251,0.502
2,2,0.019,0.997,1.022,0.748,4.113,0.452,1.437,0.504,2.074,0.654
3,3,0.098,0.973,1.636,0.629,4.0,0.431,1.354,0.502,2.799,0.501
4,4,0.959,0.753,3.21,0.344,4.923,0.243,3.364,0.452,3.813,0.321
