,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.436,0.811,1.24,0.546,1.214,0.557,1.392,0.506,1.949,0.501,1.514,0.5,2.111,0.5,1.755,0.499
1,1,0.169,0.941,1.295,0.642,1.26,0.634,1.631,0.586,2.85,0.5,2.57,0.499,2.03,0.5,2.833,0.501
2,2,0.013,0.997,0.455,0.882,0.458,0.875,0.932,0.768,3.414,0.502,1.855,0.566,2.267,0.5,3.116,0.508
3,3,0.002,1.0,0.313,0.936,0.344,0.922,0.543,0.886,4.057,0.503,0.961,0.822,2.521,0.496,2.354,0.658
4,4,0.002,1.0,0.312,0.925,0.369,0.917,0.712,0.845,4.693,0.509,1.185,0.778,2.431,0.499,3.226,0.624
5,5,0.002,1.0,0.383,0.903,0.458,0.898,0.777,0.843,2.856,0.567,1.148,0.728,2.122,0.486,1.866,0.724
6,6,1.679,0.582,3.798,0.347,3.958,0.331,5.147,0.264,3.869,0.33,2.986,0.394,2.562,0.495,4.67,0.244
7,7,3.876,0.231,5.195,0.152,5.248,0.138,6.412,0.149,3.939,0.256,4.635,0.191,2.294,0.468,4.625,0.232
8,8,4.588,0.161,5.625,0.098,5.757,0.1,6.517,0.102,6.275,0.075,4.614,0.219,3.527,0.292,5.483,0.116
9,9,3.465,0.267,4.195,0.21,4.214,0.203,4.809,0.159,4.148,0.208,3.643,0.302,3.412,0.17,3.395,0.346
10,10,4.813,0.182,5.285,0.161,5.258,0.169,5.264,0.162,4.737,0.193,4.333,0.177,1.701,0.485,3.07,0.33
11,11,12.721,0.0,12.6,0.0,12.633,0.001,11.451,0.035,12.53,0.001,12.53,0.001,12.532,0.001,12.529,0.001
