,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.386,0.919,2.973,0.611,3.503,0.564,5.006,0.503,4.79,0.507,1.371,0.499,5.353,0.502
1,1,0.034,0.993,1.215,0.837,2.072,0.741,5.282,0.519,2.34,0.68,1.009,0.574,5.437,0.525
2,2,0.02,0.997,0.598,0.925,0.966,0.878,4.951,0.563,0.979,0.866,1.47,0.619,3.658,0.677
3,3,0.007,0.998,0.494,0.934,0.894,0.882,3.285,0.679,1.076,0.868,1.979,0.543,1.923,0.806
4,4,0.419,0.93,2.455,0.695,4.903,0.494,5.99,0.391,4.732,0.483,2.502,0.497,6.558,0.354
5,5,7.456,0.308,7.958,0.273,9.687,0.211,7.073,0.309,5.387,0.442,4.909,0.346,7.225,0.333
6,6,8.328,0.133,8.776,0.102,10.815,0.077,9.869,0.092,9.1,0.165,8.755,0.047,9.341,0.095
7,7,9.062,0.067,9.552,0.059,10.53,0.06,9.915,0.027,8.602,0.033,12.131,0.005,9.197,0.034
8,8,9.097,0.024,9.385,0.021,10.552,0.05,8.708,0.016,8.415,0.019,11.856,0.004,8.883,0.012
9,9,11.015,0.002,11.314,0.005,11.648,0.027,11.764,0.003,11.072,0.004,10.876,0.005,11.658,0.004
10,10,13.141,0.002,13.192,0.003,12.765,0.029,12.886,0.003,12.961,0.004,11.598,0.003,13.008,0.003
11,11,14.801,0.002,14.728,0.003,13.924,0.029,14.728,0.003,14.728,0.003,14.728,0.003,14.728,0.003
