,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.043,0.996,3.218,0.613,3.378,0.595,2.829,0.567,1.816,0.662,2.932,0.497,3.738,0.544
1,1,0.0,1.0,1.037,0.855,1.132,0.837,2.076,0.703,1.239,0.809,2.669,0.496,2.863,0.68
2,2,0.0,1.0,0.596,0.908,0.606,0.906,1.943,0.754,1.176,0.845,3.759,0.494,3.197,0.669
3,3,0.006,1.0,0.747,0.883,0.661,0.895,3.449,0.602,1.05,0.841,4.4,0.497,3.212,0.639
4,4,0.388,0.957,3.392,0.542,3.232,0.545,5.741,0.381,4.866,0.443,5.056,0.497,5.163,0.381
5,5,3.154,0.57,5.792,0.263,5.655,0.275,6.181,0.335,4.753,0.458,5.298,0.497,5.196,0.342
6,6,2.644,0.477,4.394,0.275,4.384,0.287,5.087,0.356,4.856,0.354,8.356,0.126,3.863,0.407
7,7,2.443,0.432,3.779,0.285,3.672,0.298,5.289,0.259,4.815,0.292,9.877,0.035,3.45,0.419
8,8,4.348,0.172,5.505,0.147,5.421,0.145,6.083,0.105,6.633,0.08,10.655,0.019,4.344,0.183
9,9,6.891,0.008,7.831,0.013,7.879,0.011,8.079,0.012,9.554,0.014,9.188,0.013,6.831,0.012
10,10,10.13,0.007,10.409,0.013,10.449,0.011,10.26,0.013,10.672,0.013,9.269,0.014,10.141,0.013
11,11,11.875,0.006,11.743,0.013,11.784,0.011,11.743,0.013,11.743,0.013,11.743,0.013,11.743,0.013
