,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.094,0.984,2.54,0.512,2.427,0.53,3.853,0.504,1.718,0.518,4.146,0.504
1,1,0.002,1.0,0.83,0.813,0.826,0.822,3.917,0.521,1.129,0.629,4.253,0.515
2,2,0.0,1.0,0.224,0.945,0.219,0.951,3.018,0.607,0.939,0.647,3.778,0.558
3,3,0.001,1.0,0.261,0.943,0.27,0.943,2.478,0.681,1.362,0.594,3.447,0.597
