,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.532125,0.567875,0.16275,0.1545,0.171
1,1,0.4915,0.6035,0.169,0.168,0.17
2,2,0.6065,0.829875,0.39175,0.3955,0.388
3,3,0.8575,0.960125,0.587875,0.4815,0.69425
4,4,0.8985,0.982375,0.36075,0.3055,0.416
5,5,0.95725,0.992,0.250875,0.2285,0.27325
6,6,0.970375,0.996875,0.193875,0.18575,0.202
7,7,0.969375,0.995875,0.178625,0.1735,0.18375
8,8,0.973375,0.99575,0.16725,0.1635,0.171
9,9,0.97275,0.99725,0.160125,0.1575,0.16275
10,10,0.966875,0.99,0.157625,0.15675,0.1585
11,11,0.9705,0.99475,0.1565,0.1565,0.1565
