,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.234,0.933,0.742,0.651,0.781,0.638,0.942,0.574,1.095,0.537,0.852,0.56,1.405,0.494,1.026,0.58
1,1,0.361,0.843,0.782,0.6,0.783,0.583,0.955,0.535,0.959,0.509,0.707,0.614,1.136,0.49,0.858,0.557
2,2,0.167,0.953,0.8,0.65,0.808,0.641,1.074,0.557,0.805,0.663,0.816,0.653,1.175,0.585,0.78,0.706
3,3,0.175,0.941,0.817,0.667,0.79,0.687,1.07,0.587,0.77,0.674,0.919,0.665,1.054,0.589,0.644,0.738
4,4,0.229,0.921,0.789,0.672,0.778,0.67,1.022,0.6,0.834,0.688,1.473,0.588,0.86,0.62,0.687,0.722
5,5,0.444,0.804,0.974,0.597,0.945,0.588,1.179,0.517,0.798,0.638,0.833,0.597,0.991,0.595,0.662,0.67
6,6,0.595,0.724,1.094,0.566,1.051,0.563,1.322,0.489,0.634,0.715,1.091,0.536,0.683,0.647,0.689,0.643
7,7,1.049,0.58,1.357,0.522,1.33,0.524,1.543,0.457,0.678,0.625,1.201,0.513,0.698,0.62,0.886,0.585
8,8,1.277,0.529,1.49,0.503,1.472,0.507,1.615,0.476,0.921,0.538,1.336,0.491,0.662,0.646,1.195,0.502
9,9,1.749,0.494,1.865,0.494,1.818,0.493,1.944,0.472,1.329,0.462,1.668,0.487,0.983,0.4,1.672,0.492
10,10,1.905,0.496,1.961,0.495,1.917,0.496,1.995,0.476,1.691,0.501,1.863,0.497,1.337,0.475,1.854,0.498
11,11,2.088,0.495,2.133,0.495,2.086,0.497,2.14,0.476,2.086,0.497,2.086,0.497,2.086,0.497,2.086,0.497
