,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.165,0.948,0.552,0.754,0.586,0.737,0.848,0.64,1.253,0.526,0.878,0.586,1.382,0.502,1.0,0.586
1,1,0.181,0.926,0.501,0.781,0.525,0.773,0.739,0.691,1.086,0.559,0.596,0.744,1.216,0.495,0.831,0.665
2,2,0.12,0.952,0.432,0.828,0.445,0.821,0.679,0.733,0.817,0.662,0.533,0.787,0.883,0.613,0.61,0.772
3,3,0.133,0.946,0.462,0.82,0.452,0.823,0.723,0.742,0.637,0.746,0.922,0.727,0.937,0.645,0.774,0.722
4,4,0.191,0.918,0.519,0.791,0.523,0.782,0.753,0.724,0.948,0.685,1.063,0.657,1.016,0.614,0.881,0.662
5,5,0.421,0.797,0.842,0.663,0.837,0.659,1.1,0.582,0.755,0.698,1.121,0.569,0.806,0.651,0.827,0.637
6,6,0.603,0.718,0.998,0.61,0.974,0.62,1.273,0.531,0.76,0.69,1.205,0.52,0.626,0.732,0.828,0.606
7,7,0.923,0.607,1.246,0.548,1.234,0.553,1.45,0.473,0.788,0.601,1.029,0.521,0.668,0.652,0.819,0.581
8,8,1.237,0.532,1.458,0.514,1.438,0.517,1.6,0.482,0.808,0.575,1.275,0.478,0.608,0.678,1.116,0.517
9,9,1.733,0.491,1.863,0.486,1.812,0.493,1.933,0.469,1.282,0.422,1.855,0.494,0.888,0.413,1.711,0.48
10,10,1.912,0.496,1.971,0.495,1.931,0.498,2.014,0.476,1.706,0.502,1.904,0.496,1.422,0.516,1.871,0.498
11,11,2.088,0.495,2.133,0.495,2.086,0.497,2.14,0.476,2.086,0.497,2.086,0.497,2.086,0.497,2.086,0.497
