,layer,train_loss,train_acc,test_loss,test_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,3.081,0.058,3.077,0.058,3.153,0.013,2.988,0.059,3.071,0.039
1,1,3.269,0.004,3.248,0.008,3.249,0.007,3.249,0.006,3.25,0.007
2,2,3.269,0.005,3.248,0.008,3.254,0.005,3.253,0.008,3.254,0.006
3,3,3.27,0.004,3.248,0.009,3.252,0.006,3.251,0.006,3.252,0.006
