,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.493,0.671,2.276,0.501,2.323,0.496,2.36,0.481,1.789,0.507,1.775,0.551,2.057,0.461,1.914,0.542
1,1,1.115,0.759,2.323,0.492,2.286,0.5,2.41,0.474,1.857,0.533,1.8,0.599,1.918,0.485,1.806,0.59
2,2,1.328,0.723,2.528,0.462,2.457,0.476,2.505,0.466,2.165,0.522,1.9,0.584,2.256,0.503,2.125,0.54
3,3,1.314,0.702,2.025,0.554,2.054,0.549,2.07,0.547,2.223,0.52,2.338,0.492,2.039,0.537,2.259,0.507
4,4,1.389,0.699,2.055,0.558,2.058,0.558,2.06,0.554,2.266,0.516,2.475,0.463,2.265,0.515,2.237,0.518
5,5,1.479,0.677,2.058,0.557,2.176,0.53,2.125,0.538,2.494,0.47,2.302,0.506,2.596,0.425,2.438,0.478
6,6,2.014,0.567,2.581,0.447,2.703,0.42,2.67,0.424,2.633,0.442,2.248,0.509,2.578,0.426,2.502,0.465
7,7,1.916,0.399,2.294,0.366,2.38,0.349,2.325,0.358,2.599,0.335,1.945,0.487,1.423,0.268,2.001,0.413
8,8,1.985,0.355,2.189,0.365,2.15,0.357,2.202,0.346,2.318,0.361,1.429,0.483,1.288,0.269,1.852,0.384
9,9,3.553,0.215,3.022,0.304,3.076,0.303,3.17,0.282,3.036,0.321,1.715,0.464,4.271,0.144,2.84,0.329
10,10,3.627,0.075,3.061,0.201,3.141,0.178,3.121,0.193,2.785,0.198,4.197,0.14,0.715,0.464,2.709,0.193
11,11,5.184,0.004,4.218,0.157,4.324,0.139,4.337,0.135,4.324,0.139,4.324,0.139,4.324,0.139,4.324,0.139
