,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,1.461,0.688,2.28,0.508,2.325,0.497,2.361,0.489,1.811,0.525,1.921,0.549,2.04,0.458,2.023,0.536
1,1,0.368,0.919,1.062,0.758,1.093,0.755,1.051,0.768,2.016,0.549,1.876,0.592,2.186,0.496,1.202,0.735
2,2,0.665,0.857,1.508,0.671,1.606,0.651,1.581,0.655,1.927,0.578,2.044,0.552,1.98,0.55,1.799,0.615
3,3,1.305,0.709,2.049,0.552,2.09,0.548,2.091,0.542,2.214,0.52,2.157,0.51,2.285,0.502,2.376,0.483
4,4,1.435,0.692,2.111,0.551,2.093,0.553,2.072,0.557,2.239,0.522,2.416,0.476,2.396,0.487,2.293,0.515
5,5,1.512,0.678,2.157,0.535,2.178,0.53,2.098,0.553,2.391,0.487,2.384,0.487,2.555,0.446,2.411,0.486
6,6,1.897,0.553,2.475,0.44,2.467,0.435,2.469,0.432,2.287,0.469,2.164,0.492,2.5,0.402,2.101,0.496
7,7,2.042,0.381,2.313,0.364,2.407,0.344,2.376,0.355,2.55,0.333,2.141,0.454,1.271,0.293,1.999,0.397
8,8,2.118,0.364,2.251,0.35,2.257,0.358,2.332,0.337,2.267,0.347,1.551,0.491,1.273,0.327,1.856,0.393
9,9,2.992,0.147,2.619,0.264,2.625,0.242,2.68,0.242,2.659,0.26,1.115,0.398,3.957,0.143,2.163,0.289
10,10,5.184,0.004,4.218,0.157,4.324,0.139,4.337,0.135,4.324,0.139,4.324,0.139,4.324,0.139,4.324,0.139
11,11,5.184,0.004,4.218,0.157,4.324,0.139,4.337,0.135,4.324,0.139,4.324,0.139,4.324,0.139,4.324,0.139
