,layer,train_loss,train_acc,test_loss,test_acc,sampled_loss,sampled_acc,half_sampled_loss,half_sampled_acc,interpolated_loss,interpolated_acc
0,0,0.187,0.98,0.743,0.888,1.882,0.704,1.548,0.752,1.499,0.76
1,1,0.17,0.981,0.664,0.894,1.571,0.744,0.894,0.839,1.069,0.817
2,2,0.445,0.94,0.992,0.843,1.122,0.791,0.475,0.902,0.432,0.912
3,3,0.494,0.932,0.986,0.85,1.493,0.735,0.957,0.818,0.608,0.877
