,value,stream,layer,val acc,train acc
0,class,stream_1,0,0.5046875,0.5859375
1,class,stream_1,1,0.4953125,0.5425
2,class,stream_1,2,0.4996875,0.60984375
3,class,stream_1,3,0.52640625,0.61984375
4,class,stream_1,4,0.5590625,0.62640625
5,class,stream_1,5,0.59078125,0.59359375
6,class,stream_1,6,0.59703125,0.654375
7,class,stream_1,7,0.568125,0.61390625
8,class,stream_1,8,0.5853125,0.624375
9,class,stream_1,9,0.6184375,0.666875
10,class,stream_1,10,0.60984375,0.63484375
11,class,stream_1,11,0.6621875,0.7046875
12,class,stream_1,12,0.68171875,0.71890625
13,class,stream_2,0,0.50328125,0.59578125
14,class,stream_2,1,0.499375,0.58203125
15,class,stream_2,2,0.49609375,0.5828125
16,class,stream_2,3,0.53015625,0.6203125
17,class,stream_2,4,0.56,0.64234375
18,class,stream_2,5,0.58453125,0.58875
19,class,stream_2,6,0.60578125,0.6746875
20,class,stream_2,7,0.61859375,0.66671875
21,class,stream_2,8,0.60875,0.6746875
22,class,stream_2,9,0.639375,0.694375
23,class,stream_2,10,0.57015625,0.64328125
24,class,stream_2,11,0.62625,0.6453125
25,class,stream_2,12,0.619375,0.65421875
26,class,cls,0,0.5,0.5
27,class,cls,1,0.51734375,0.53
28,class,cls,2,0.51296875,0.53546875
29,class,cls,3,0.659375,0.71078125
30,class,cls,4,0.7575,0.755
31,class,cls,5,0.861875,0.84984375
32,class,cls,6,0.8734375,0.88296875
33,class,cls,7,0.9321875,0.945625
34,class,cls,8,0.93828125,0.97609375
35,class,cls,9,0.95796875,0.99203125
36,class,cls,10,0.95984375,0.994375
37,class,cls,11,0.9603125,0.99578125
38,class,cls,12,0.9603125,0.99671875
