,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.019,0.997,0.549,0.886,1.254,0.778,2.385,0.631,2.01,0.637,1.808,0.732
1,1,0.095,0.98,0.798,0.843,1.401,0.761,2.92,0.606,1.889,0.629,2.893,0.631
2,2,0.157,0.966,0.835,0.837,1.437,0.756,3.685,0.55,3.401,0.563,2.021,0.718
3,3,2.212,0.614,2.987,0.523,3.128,0.546,4.619,0.443,4.715,0.403,4.627,0.461
4,4,8.699,0.09,8.912,0.094,7.146,0.241,8.396,0.168,8.432,0.137,8.258,0.199
5,5,9.743,0.05,9.807,0.056,7.471,0.224,9.677,0.067,9.331,0.092,9.578,0.069
