,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.287,0.887,1.049,0.538,1.064,0.54,1.058,0.534,1.432,0.51,1.055,0.526,1.577,0.508,1.414,0.515
1,1,0.529,0.741,0.989,0.52,0.992,0.512,0.976,0.53,1.025,0.52,0.844,0.53,1.355,0.513,1.04,0.518
2,2,0.242,0.896,1.009,0.585,1.047,0.575,1.016,0.597,1.265,0.554,2.013,0.512,1.142,0.519,1.242,0.548
3,3,0.219,0.898,0.978,0.617,0.988,0.619,0.97,0.625,1.036,0.617,2.13,0.51,1.351,0.559,1.194,0.581
4,4,0.272,0.872,0.924,0.642,0.965,0.629,0.923,0.639,1.11,0.619,2.271,0.504,2.201,0.521,1.237,0.555
5,5,0.432,0.809,1.18,0.555,1.167,0.564,1.171,0.562,1.262,0.544,2.07,0.506,1.509,0.533,1.224,0.477
6,6,0.667,0.717,1.248,0.553,1.252,0.562,1.261,0.551,1.312,0.498,2.107,0.503,1.466,0.499,1.347,0.483
7,7,1.04,0.615,1.41,0.507,1.441,0.504,1.439,0.501,1.26,0.452,1.208,0.507,1.219,0.45,1.301,0.458
8,8,1.58,0.493,1.774,0.45,1.779,0.467,1.793,0.457,1.27,0.373,1.756,0.445,0.917,0.384,1.624,0.404
9,9,1.985,0.446,2.045,0.433,2.061,0.443,2.061,0.438,1.358,0.425,1.977,0.449,0.967,0.33,1.773,0.444
10,10,2.237,0.442,2.196,0.439,2.184,0.443,2.213,0.434,1.753,0.443,2.116,0.444,1.161,0.422,1.945,0.442
11,11,2.643,0.436,2.536,0.432,2.519,0.438,2.564,0.435,2.519,0.438,2.519,0.438,2.519,0.438,2.519,0.438
