,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.353,0.855,1.127,0.487,1.162,0.491,1.124,0.491,1.194,0.519,1.023,0.521,1.331,0.504,1.207,0.508
1,1,0.813,0.577,1.108,0.469,1.068,0.488,1.056,0.484,0.826,0.498,0.847,0.536,0.791,0.484,1.052,0.503
2,2,0.282,0.883,1.23,0.502,1.231,0.495,1.212,0.507,1.068,0.565,1.572,0.516,0.967,0.5,1.092,0.545
3,3,0.308,0.862,1.162,0.528,1.222,0.522,1.16,0.536,1.032,0.571,1.67,0.508,1.468,0.539,1.079,0.553
4,4,0.325,0.854,1.121,0.559,1.188,0.545,1.168,0.553,1.301,0.556,2.217,0.501,1.86,0.534,1.151,0.549
5,5,0.441,0.801,1.219,0.519,1.287,0.496,1.287,0.508,1.226,0.507,1.214,0.529,1.333,0.498,1.151,0.508
6,6,0.644,0.715,1.225,0.535,1.261,0.523,1.258,0.532,1.313,0.493,1.788,0.5,1.851,0.519,1.112,0.502
7,7,1.035,0.593,1.397,0.5,1.457,0.507,1.434,0.497,1.121,0.494,1.308,0.468,1.088,0.459,1.406,0.412
8,8,1.56,0.49,1.713,0.459,1.75,0.473,1.767,0.459,1.241,0.405,1.602,0.411,0.875,0.379,1.612,0.432
9,9,1.996,0.447,2.037,0.43,2.061,0.437,2.075,0.435,1.386,0.422,1.984,0.447,0.899,0.314,1.82,0.436
10,10,2.244,0.44,2.195,0.436,2.189,0.44,2.208,0.434,1.719,0.439,2.13,0.441,1.187,0.418,1.968,0.443
11,11,2.643,0.436,2.536,0.432,2.519,0.438,2.564,0.435,2.519,0.438,2.519,0.438,2.519,0.438,2.519,0.438
