,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.341,0.953,1.9,0.713,1.864,0.723,4.126,0.376,1.533,0.485,4.404,0.351
1,1,0.434,0.941,1.919,0.714,1.796,0.735,3.934,0.406,1.338,0.576,3.224,0.475
2,2,0.688,0.918,1.923,0.715,1.813,0.752,4.061,0.414,1.865,0.465,3.1,0.537
3,3,0.686,0.919,1.704,0.756,1.541,0.779,3.178,0.535,2.548,0.373,2.783,0.598
4,4,1.255,0.856,1.968,0.727,2.07,0.716,2.039,0.715,2.992,0.344,2.284,0.669
5,5,1.632,0.813,2.37,0.685,2.273,0.691,1.937,0.745,2.047,0.531,1.941,0.728
6,6,1.949,0.747,2.458,0.645,2.478,0.639,1.916,0.752,4.572,0.136,1.869,0.749
7,7,2.058,0.73,2.423,0.64,2.416,0.649,1.925,0.741,5.423,0.062,1.971,0.691
8,8,2.169,0.724,2.498,0.613,2.507,0.61,2.144,0.665,5.637,0.053,2.04,0.705
9,9,3.985,0.057,4.298,0.034,4.276,0.049,3.709,0.037,5.879,0.011,3.762,0.037
10,10,5.729,0.012,5.918,0.011,5.906,0.009,5.536,0.013,6.194,0.01,5.381,0.014
11,11,8.81,0.011,8.777,0.01,8.799,0.009,8.777,0.01,8.777,0.01,8.777,0.01
