,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.501,0.54625,0.10525,0.10425,0.10625
1,1,0.536875,0.628375,0.131375,0.13475,0.128
2,2,0.7755,0.814,0.312375,0.368,0.25675
3,3,0.8955,0.940875,0.74175,0.7615,0.722
4,4,0.959625,0.978,0.5015,0.4925,0.5105
5,5,0.967,0.988,0.2465,0.242,0.251
6,6,0.9705,0.988375,0.14475,0.14125,0.14825
7,7,0.963125,0.991375,0.114875,0.1145,0.11525
8,8,0.9675,0.989,0.110375,0.111,0.10975
9,9,0.969375,0.987625,0.104875,0.10475,0.105
10,10,0.94075,0.982125,0.105,0.105,0.105
11,11,0.952375,0.9825,0.105,0.105,0.105
