,layer,train_loss,train_acc,test_loss,test_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.025,0.995,0.853,0.749,3.25,0.471,1.187,0.499,2.657,0.536
1,1,0.026,0.996,0.828,0.817,5.284,0.496,1.931,0.498,4.327,0.509
2,2,0.141,0.962,2.104,0.54,4.128,0.467,1.481,0.454,3.537,0.549
3,3,1.123,0.712,3.92,0.281,3.2,0.352,1.533,0.431,2.997,0.364
