,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,1,0.124,0.978,0.438,0.913,0.362,0.929,0.93,0.819,0.739,0.857,2.845,0.462,0.871,0.831
1,2,0.5,0.901,1.214,0.765,1.197,0.771,2.555,0.53,1.595,0.703,3.408,0.382,1.808,0.669
2,3,3.372,0.42,3.896,0.328,3.81,0.346,3.368,0.414,3.023,0.476,3.21,0.417,3.482,0.401
3,4,4.839,0.179,4.847,0.176,4.897,0.168,3.93,0.327,3.895,0.331,4.019,0.306,3.946,0.324
4,5,5.328,0.095,5.332,0.09,5.345,0.092,4.593,0.213,4.331,0.259,4.762,0.176,4.863,0.169
