,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.805,0.666,1.513,0.49,1.522,0.496,1.595,0.479,1.356,0.502,1.056,0.508,1.392,0.502,1.288,0.509
1,1,0.57,0.825,2.286,0.557,2.186,0.579,2.25,0.561,2.543,0.49,1.804,0.534,1.51,0.485,2.157,0.522
2,2,0.314,0.887,1.829,0.631,1.741,0.653,1.829,0.631,3.058,0.501,2.238,0.567,1.51,0.492,2.554,0.55
3,3,0.009,0.999,0.379,0.917,0.431,0.914,0.382,0.91,2.24,0.656,1.411,0.774,1.322,0.509,0.825,0.851
4,4,0.009,0.997,0.505,0.897,0.543,0.897,0.5,0.895,1.468,0.777,3.337,0.574,1.653,0.481,0.933,0.842
5,5,0.011,0.998,0.543,0.89,0.543,0.884,0.525,0.887,1.951,0.696,4.207,0.5,1.648,0.463,2.1,0.681
6,6,0.246,0.913,1.644,0.613,1.638,0.626,1.593,0.628,2.271,0.575,2.994,0.513,1.743,0.45,2.606,0.569
7,7,0.646,0.801,1.633,0.611,1.666,0.614,1.627,0.612,1.722,0.584,2.8,0.511,2.197,0.374,2.214,0.593
8,8,1.268,0.797,1.836,0.717,1.883,0.71,1.839,0.714,2.403,0.377,1.3,0.703,2.234,0.458,1.426,0.662
9,9,1.144,0.808,1.477,0.752,1.483,0.743,1.405,0.748,1.794,0.434,1.18,0.693,1.472,0.569,0.938,0.829
10,10,1.45,0.75,1.599,0.717,1.653,0.709,1.597,0.717,2.776,0.416,1.184,0.709,2.164,0.527,0.77,0.838
11,11,11.07,0.0,10.587,0.015,10.54,0.013,10.638,0.01,10.349,0.013,10.352,0.012,10.346,0.012,10.343,0.012
