,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.535375,0.556,0.054375,0.055,0.05375
1,1,0.554875,0.643875,0.048375,0.05375,0.043
2,2,0.818,0.889875,0.05075,0.0585,0.043
3,3,0.898875,0.966875,0.10925,0.13125,0.08725
4,4,0.89925,0.989125,0.090125,0.1045,0.07575
5,5,0.976,0.99075,0.06625,0.07675,0.05575
6,6,0.969,0.99375,0.04475,0.049,0.0405
7,7,0.975875,0.994,0.050625,0.0515,0.04975
8,8,0.975875,0.997875,0.05225,0.05175,0.05275
9,9,0.973125,0.995125,0.053625,0.054,0.05325
10,10,0.974,0.992125,0.0535,0.0535,0.0535
11,11,0.969625,0.993375,0.0535,0.0535,0.0535
